,spam,sms,sms_transform
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazi avail bugi n great world la e buffet cine got amor wat
1,0,Ok lar... Joking wif u oni...,ok lar joke wif u oni
2,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18
3,0,U dun say so early hor... U c already then say...,u dun say earli hor u c alreadi say
4,0,"Nah I don't think he goes to usf, he lives around here though",nah think goe usf live around though
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
6,0,Even my brother is not like to speak with me. They treat me like aids patent.,even brother like speak treat like aid patent
7,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
8,1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour
9,1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gon na home soon want talk stuff anymor tonight k cri enough today
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
12,1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
13,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,search right word thank breather promis wont take help grant fulfil promis wonder bless time
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt messag click http
16,0,Oh k...i'm watching here:),oh k watch
17,0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u rememb 2 spell name ye v naughti make v wet
18,0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine thatåõ way u feel thatåõ way gota b
19,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq
20,0,Is that seriously how you spell his name?,serious spell name
21,0,IÛ÷m going to try for 2 months ha ha only joking,go tri 2 month ha ha joke
22,0,So Ì_ pay first lar... Then when is da stock comin...,pay first lar da stock comin
23,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
